student_id,name,email,password,phone,date_of_birth,gender,blood_group,address,department,program,batch,current_semester,credit_completed,total_credits,cgpa,admission_date,guardian_name,guardian_phone,guardian_relation,total_payable,total_paid,total_due,payment_status
1000,Emily Johnson,emily.j@example.com,pass123,01711111111,1998-05-15,Female,A+,123 Main St,Computer Science,B.Sc. in CSE,2021,5,60,120,3.5,2021-09-01,Michael Johnson,01722222222,Father,150000,100000,50000,Due
1001,John Smith,john.s@example.com,pass123,01711111112,1999-02-20,Male,B-,456 Oak Ave,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.2,2021-09-01,Laura Smith,01722222223,Mother,150000,150000,0,Paid
1002,Sophia Davis,sophia.d@example.com,pass123,01711111113,1998-11-10,Female,O+,789 Pine Ln,Business Administration,BBA,2021,5,60,120,3.8,2021-09-01,Robert Davis,01722222224,Father,150000,120000,30000,Due
1003,Daniel Wilson,daniel.w@example.com,pass123,01711111114,2000-07-25,Male,AB-,101 Maple Rd,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.4,2021-09-01,Jennifer Wilson,01722222225,Mother,150000,150000,0,Paid
1004,Olivia Brown,olivia.b@example.com,pass123,01711111115,1999-04-01,Female,A-,202 Cedar St,Pharmacy,B.Pharm,2021,5,60,120,3.6,2021-09-01,James Brown,01722222226,Father,150000,90000,60000,Due
1005,William Taylor,william.t@example.com,pass123,01711111116,1998-09-30,Male,B+,303 Birch Ave,English,B.A. in English,2021,5,60,120,3.1,2021-09-01,Susan Taylor,01722222227,Mother,150000,150000,0,Paid
1006,Isabella Martinez,isabella.m@example.com,pass123,01711111117,2000-12-05,Female,O-,404 Willow Dr,Law,LLB,2021,5,60,120,3.9,2021-09-01,David Martinez,01722222228,Father,150000,110000,40000,Due
1007,James Rodriguez,james.r@example.com,pass123,01711111118,1999-08-18,Male,A+,505 Elm Ct,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.3,2021-09-01,Maria Rodriguez,01722222229,Mother,150000,150000,0,Paid
1008,Ava Hernandez,ava.h@example.com,pass123,01711111119,1998-03-12,Female,B+,606 Spruce Ln,Architecture,B.Arch,2021,5,60,120,3.7,2021-09-01,Joseph Hernandez,01722222230,Father,150000,130000,20000,Due
1009,Alexander Gonzalez,alexander.g@example.com,pass123,01711111120,2000-01-28,Male,O+,707 Fir Rd,Economics,B.S. in Economics,2021,5,60,120,3.5,2021-09-01,Patricia Gonzalez,01722222231,Mother,150000,150000,0,Paid
1010,Mia Perez,mia.p@example.com,pass123,01711111121,1999-06-08,Female,A-,808 Pine Ave,Computer Science,B.Sc. in CSE,2021,5,60,120,3.9,2021-09-01,Charles Perez,01722222232,Father,150000,105000,45000,Due
1011,Benjamin Carter,benjamin.c@example.com,pass123,01711111122,1998-10-22,Male,B-,909 Oak St,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.4,2021-09-01,Linda Carter,01722222233,Mother,150000,150000,0,Paid
1012,Charlotte Evans,charlotte.e@example.com,pass123,01711111123,2000-03-03,Female,AB+,111 Maple Ln,Business Administration,BBA,2021,5,60,120,3.6,2021-09-01,George Evans,01722222234,Father,150000,140000,10000,Due
1013,Lucas King,lucas.k@example.com,pass123,01711111124,1999-01-14,Male,O+,222 Cedar Rd,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.2,2021-09-01,Karen King,01722222235,Mother,150000,150000,0,Paid
1014,Amelia Hill,amelia.h@example.com,pass123,01711111125,1998-08-07,Female,A+,333 Birch Ct,Pharmacy,B.Pharm,2021,5,60,120,3.8,2021-09-01,Paul Hill,01722222236,Father,150000,100000,50000,Due
1015,Henry Green,henry.g@example.com,pass123,01711111126,2000-11-29,Male,B+,444 Willow St,English,B.A. in English,2021,5,60,120,3.3,2021-09-01,Nancy Green,01722222237,Mother,150000,150000,0,Paid
1016,Evelyn Adams,evelyn.a@example.com,pass123,01711111127,1999-03-24,Female,O-,555 Elm Ln,Law,LLB,2021,5,60,120,3.7,2021-09-01,Frank Adams,01722222238,Father,150000,130000,20000,Due
1017,Sebastian Baker,sebastian.b@example.com,pass123,01711111128,1998-06-19,Male,A+,666 Spruce Ave,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.5,2021-09-01,Christine Baker,01722222239,Mother,150000,150000,0,Paid
1018,Harper Hall,harper.h@example.com,pass123,01711111129,2000-09-17,Female,B+,777 Fir Dr,Architecture,B.Arch,2021,5,60,120,3.9,2021-09-01,Thomas Hall,01722222240,Father,150000,115000,35000,Due
1019,Leo Clark,leo.c@example.com,pass123,01711111130,1999-12-12,Male,AB+,888 Pine Rd,Economics,B.S. in Economics,2021,5,60,120,3.1,2021-09-01,Margaret Clark,01722222241,Mother,150000,150000,0,Paid
1020,Avery Lewis,avery.l@example.com,pass123,01711111131,1998-04-05,Female,A-,999 Oak Ct,Computer Science,B.Sc. in CSE,2021,5,60,120,3.4,2021-09-01,Andrew Lewis,01722222242,Father,150000,100000,50000,Due
1021,Elijah Scott,elijah.s@example.com,pass123,01711111132,2000-06-28,Male,O+,123 Willow Ln,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.7,2021-09-01,Donna Scott,01722222243,Mother,150000,150000,0,Paid
1022,Grace Baker,grace.b@example.com,pass123,01711111133,1999-09-02,Female,B-,456 Maple St,Business Administration,BBA,2021,5,60,120,3.2,2021-09-01,Paul Baker,01722222244,Father,150000,120000,30000,Due
1023,Logan Wright,logan.w@example.com,pass123,01711111134,1998-11-15,Male,AB+,789 Cedar Rd,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.6,2021-09-01,Brenda Wright,01722222245,Mother,150000,150000,0,Paid
1024,Chloe Torres,chloe.t@example.com,pass123,01711111135,2000-02-10,Female,A+,101 Birch Dr,Pharmacy,B.Pharm,2021,5,60,120,3.9,2021-09-01,Kenneth Torres,01722222246,Father,150000,90000,60000,Due
1025,Jackson Rivera,jackson.r@example.com,pass123,01711111136,1999-07-27,Male,O-,202 Willow Ct,English,B.A. in English,2021,5,60,120,3.3,2021-09-01,Deborah Rivera,01722222247,Mother,150000,150000,0,Paid
1026,Lily Powell,lily.p@example.com,pass123,01711111137,1998-12-08,Female,B+,303 Elm St,Law,LLB,2021,5,60,120,3.8,2021-09-01,Steven Powell,01722222248,Father,150000,110000,40000,Due
1027,Ryan Roberts,ryan.r@example.com,pass123,01711111138,2000-05-19,Male,A+,404 Spruce Ln,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.5,2021-09-01,Nancy Roberts,01722222249,Mother,150000,150000,0,Paid
1028,Zoey Phillips,zoey.p@example.com,pass123,01711111139,1999-10-04,Female,O+,505 Fir Ave,Architecture,B.Arch,2021,5,60,120,3.7,2021-09-01,Mark Phillips,01722222250,Father,150000,130000,20000,Due
1029,Gabriel Morgan,gabriel.m@example.com,pass123,01711111140,1998-03-21,Male,A-,606 Pine Rd,Economics,B.S. in Economics,2021,5,60,120,3.4,2021-09-01,Betty Morgan,01722222251,Mother,150000,150000,0,Paid
1030,Hannah Bailey,hannah.b@example.com,pass123,01711111141,2000-08-14,Female,B-,707 Oak Ct,Computer Science,B.Sc. in CSE,2021,5,60,120,3.6,2021-09-01,Frank Bailey,01722222252,Father,150000,105000,45000,Due
1031,Caleb Cox,caleb.c@example.com,pass123,01711111142,1999-01-26,Male,AB+,808 Maple St,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.2,2021-09-01,Susan Cox,01722222253,Mother,150000,150000,0,Paid
1032,Sofia Bell,sofia.b@example.com,pass123,01711111143,1998-06-05,Female,O+,909 Cedar Ln,Business Administration,BBA,2021,5,60,120,3.8,2021-09-01,Jeffrey Bell,01722222254,Father,150000,140000,10000,Due
1033,Ethan Reed,ethan.r@example.com,pass123,01711111144,2000-04-18,Male,A+,111 Birch Ave,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.5,2021-09-01,Deborah Reed,01722222255,Mother,150000,150000,0,Paid
1034,Addison Price,addison.p@example.com,pass123,01711111145,1999-09-09,Female,B+,222 Willow Rd,Pharmacy,B.Pharm,2021,5,60,120,3.9,2021-09-01,Gary Price,01722222256,Father,150000,90000,60000,Due
1035,Julian Ward,julian.w@example.com,pass123,01711111146,1998-12-02,Male,O-,333 Elm Ct,English,B.A. in English,2021,5,60,120,3.3,2021-09-01,Lisa Ward,01722222257,Mother,150000,150000,0,Paid
1036,Stella Kelly,stella.k@example.com,pass123,01711111147,2000-07-07,Female,A+,444 Spruce St,Law,LLB,2021,5,60,120,3.7,2021-09-01,Ronald Kelly,01722222258,Father,150000,110000,40000,Due
1037,Cole Rogers,cole.r@example.com,pass123,01711111148,1999-02-15,Male,B-,555 Fir Ln,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.4,2021-09-01,Sharon Rogers,01722222259,Mother,150000,150000,0,Paid
1038,Paisley Foster,paisley.f@example.com,pass123,01711111149,1998-10-28,Female,AB+,666 Pine Ave,Architecture,B.Arch,2021,5,60,120,3.6,2021-09-01,Peter Foster,01722222260,Father,150000,130000,20000,Due
1039,Lincoln Cooper,lincoln.c@example.com,pass123,01711111150,2000-03-12,Male,O+,777 Oak Rd,Economics,B.S. in Economics,2021,5,60,120,3.1,2021-09-01,Diane Cooper,01722222261,Mother,150000,150000,0,Paid
1040,Eleanor Perry,eleanor.p@example.com,pass123,01711111151,1999-05-01,Female,A-,888 Maple Ln,Computer Science,B.Sc. in CSE,2021,5,60,120,3.7,2021-09-01,Ronald Perry,01722222262,Father,150000,100000,50000,Due
1041,Max Patterson,max.p@example.com,pass123,01711111152,1998-08-26,Male,B+,999 Cedar St,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.3,2021-09-01,Angela Patterson,01722222263,Mother,150000,150000,0,Paid
1042,Hazel Wright,hazel.w@example.com,pass123,01711111153,2000-11-19,Female,O+,123 Birch Dr,Business Administration,BBA,2021,5,60,120,3.5,2021-09-01,Scott Wright,01722222264,Father,150000,120000,30000,Due
1043,Owen Evans,owen.e@example.com,pass123,01711111154,1999-04-10,Male,A+,456 Willow Ct,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.8,2021-09-01,Teresa Evans,01722222265,Mother,150000,150000,0,Paid
1044,Violet Hughes,violet.h@example.com,pass123,01711111155,1998-07-23,Female,B-,789 Elm St,Pharmacy,B.Pharm,2021,5,60,120,3.2,2021-09-01,Chris Hughes,01722222266,Father,150000,90000,60000,Due
1045,Asher Bell,asher.b@example.com,pass123,01711111156,2000-10-05,Male,AB+,101 Spruce Ln,English,B.A. in English,2021,5,60,120,3.6,2021-09-01,Karen Bell,01722222267,Mother,150000,150000,0,Paid
1046,Penelope Jenkins,penelope.j@example.com,pass123,01711111157,1999-01-18,Female,O-,202 Fir Ave,Law,LLB,2021,5,60,120,3.9,2021-09-01,Robert Jenkins,01722222268,Father,150000,110000,40000,Due
1047,Miles Coleman,miles.c@example.com,pass123,01711111158,1998-06-11,Male,A+,303 Pine Rd,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.4,2021-09-01,Janet Coleman,01722222269,Mother,150000,150000,0,Paid
1048,Kennedy Ward,kennedy.w@example.com,pass123,01711111159,2000-09-04,Female,B+,404 Oak Ct,Architecture,B.Arch,2021,5,60,120,3.8,2021-09-01,Brian Ward,01722222270,Father,150000,130000,20000,Due
